Name,Vmag,AtmDepth,SNR,Period,Mass,logg,Eq Temp
HAT-P-15,12.16,47.6,0.115,10.86,1.95,41.97,1069
Kepler-089e,12.33,51.1,0.114,54.32,0.11,7.97,792
Kepler-1656,11.24,30.9,0.114,31.58,0.15,18.90,777
K2-099,11.15,28.6,0.110,18.25,0.97,14.45,1517
Kepler-454,11.59,34.5,0.108,10.57,0.02,11.91,1090
HAT-P-20,11.34,30.3,0.107,2.88,7.22,170.34,1146
CoRoT-08,14.76,143.5,0.104,6.21,0.22,14.10,1034
Kepler-289d,14.11,105.0,0.103,125.85,0.41,9.62,481
K2-055,13.55,80.2,0.102,2.85,0.14,21.92,1119
CoRoT-19,14.01,98.9,0.102,3.90,1.09,19.08,1938
K2-265,11.10,25.2,0.099,2.37,0.02,21.81,1690
Kepler-029b,15.46,183.9,0.097,10.34,0.01,3.94,1035
Kepler-074,14.56,119.6,0.095,7.34,0.63,16.94,1303
XO-3,9.91,14.0,0.095,3.19,11.83,188.27,2056
Kepler-011f,13.86,84.8,0.093,46.69,0.01,3.19,666
TRAPPIST-1b,18.80,817.3,0.093,1.51,0.00,7.93,467
HD_080606,9.06,9.0,0.091,111.44,4.11,101.36,483
Kepler-079c,14.03,88.9,0.091,27.40,0.02,4.18,934
K2-039,10.83,20.3,0.090,4.61,0.12,11.96,2012
WASP-158,12.05,35.2,0.089,3.66,2.79,60.40,1888
K2-018b,13.50,67.2,0.087,32.94,0.03,11.47,345
CoRoT-28,13.78,75.5,0.086,5.21,0.48,13.15,1622
Kepler-138b,13.34,61.5,0.086,10.31,0.00,3.81,624
Kepler-020c,12.65,44.4,0.085,10.85,0.04,13.45,1004
HATS-12,12.76,46.4,0.085,3.14,2.39,30.93,2495
Kepler-428,15.47,161.3,0.085,3.53,1.27,26.99,1269
CoRoT-26,15.76,184.1,0.085,4.21,0.52,8.12,1870
K2-038c,11.39,24.6,0.084,10.56,0.03,16.47,1115
WASP-047c,11.93,30.9,0.083,0.79,0.02,21.19,2624
Kepler-029c,15.46,156.5,0.082,13.29,0.01,3.98,952
CoRoT-13,15.04,128.7,0.082,4.04,1.31,20.75,1704
K2-098,12.17,33.9,0.081,10.14,0.10,17.34,1309
TRAPPIST-1d,18.80,714.5,0.081,4.05,0.00,4.57,336
HAT-P-21,11.69,26.9,0.080,4.12,4.06,96.04,1516
LHS_1140b,14.15,83.1,0.080,24.74,0.02,22.96,279
K2-110,11.91,28.7,0.078,13.86,0.05,24.39,759
Kepler-010c,11.10,19.8,0.078,45.29,0.02,13.08,688
Kepler-424,14.45,91.9,0.077,3.31,1.03,32.23,1447
HATS-15,14.77,106.5,0.077,1.75,2.17,44.05,1776
Kepler-087c,14.78,106.8,0.077,191.23,0.02,1.66,527
K2-113,13.68,64.2,0.077,5.82,1.29,36.97,1377
Kepler-005,13.54,60.2,0.077,3.55,2.03,34.49,2013
K2-216,12.48,36.9,0.077,2.17,0.02,22.27,1309
CoRoT-09,13.69,63.8,0.076,95.27,0.84,18.32,497
HATS-16,13.83,68.0,0.076,2.69,3.27,47.96,1892
HD_119130,9.92,11.2,0.076,16.98,0.08,34.56,946
Kepler-079e,14.03,73.3,0.075,81.07,0.01,3.31,650
HATS-22,13.46,55.6,0.074,4.72,2.74,74.78,1020
Kepler-044,14.89,106.6,0.073,3.25,1.00,20.86,1830
K2-180,12.60,34.0,0.067,8.87,0.04,22.31,889
Kepler-026b,16.00,162.7,0.067,12.28,0.02,6.49,549
Qatar-5,12.82,37.4,0.067,2.88,4.32,87.38,1682
TRAPPIST-1c,18.80,578.8,0.066,2.42,0.00,9.35,399
CoRoT-29,15.56,125.8,0.063,2.85,0.85,26.01,1449
Kepler-011d,13.86,57.4,0.063,22.69,0.02,7.40,836
Kepler-011b,13.86,56.4,0.062,10.30,0.01,5.77,1105
K2-106b,12.10,25.0,0.062,0.57,0.02,32.43,2652
Kepler-080c,15.18,93.1,0.056,9.52,0.02,8.83,762
Qatar-4,13.60,44.9,0.056,1.80,6.10,117.37,1647
Kepler-080b,15.18,92.9,0.056,7.05,0.02,9.54,842
CoRoT-06,13.91,51.7,0.056,8.89,2.96,52.25,1220
K2-111,11.14,14.4,0.056,5.35,0.03,23.16,1462
Kepler-101b,13.99,53.3,0.055,3.49,0.16,15.05,1864
K2-108,12.47,25.9,0.054,4.73,0.19,20.89,1735
CoRoT-18,15.00,82.8,0.054,1.90,3.30,62.28,1727
Qatar-3,12.88,30.9,0.053,2.51,4.31,88.93,1998
Kepler-079b,14.03,50.0,0.051,13.48,0.03,8.77,1181
HATS-17,12.39,23.4,0.051,16.25,1.34,54.93,968
Kepler-289c,14.11,51.5,0.051,66.06,0.01,5.64,598
HATS-36,14.39,58.6,0.051,4.17,3.22,52.26,1627
Kepler-026c,16.00,112.8,0.046,17.25,0.02,8.19,490
TRAPPIST-1f,18.80,401.1,0.045,9.21,0.00,8.26,256
TRAPPIST-1g,18.80,387.1,0.044,12.36,0.00,8.51,232
Kepler-056b,12.72,23.2,0.043,10.50,0.07,5.07,1780
EPIC_211682544,11.61,13.6,0.042,50.82,0.05,24.99,560
TRAPPIST-1h,18.80,370.9,0.042,18.77,0.00,5.21,202
Kepler-035,15.93,98.8,0.042,131.46,0.13,5.94,420
TRAPPIST-1e,18.80,366.4,0.041,6.10,0.00,9.02,293
Kepler-030b,15.62,84.5,0.041,29.22,0.03,6.38,715
WASP-089,13.09,26.0,0.041,3.36,5.90,135.21,1290
Kepler-020d,12.65,21.1,0.041,77.61,0.03,13.24,523
Kepler-043,14.07,39.5,0.040,3.02,3.09,61.61,1906
Kepler-138c,13.34,27.7,0.039,13.78,0.02,18.31,567
K2-056,11.04,9.5,0.039,41.69,0.05,31.92,649
Kepler-020b,12.65,19.3,0.037,3.70,0.03,27.20,1438
EPIC_211418729,14.57,46.3,0.037,11.39,1.85,51.68,858
Kepler-022,11.81,13.0,0.037,289.86,0.02,11.91,340
Kepler-539,12.53,17.9,0.036,125.63,0.97,43.09,461
WTS-1,16.13,90.7,0.035,3.35,4.01,44.77,1773
HATS-66,14.10,34.3,0.034,3.14,5.50,60.59,2337
Kepler-091,12.81,18.7,0.033,6.25,0.73,9.45,2411
HATS-61,13.23,22.3,0.033,7.82,3.40,58.43,1483
WASP-162,12.21,13.9,0.033,9.62,5.20,128.89,1085
HATS-70,12.57,15.6,0.031,1.89,12.90,166.93,3273
Kepler-018b,13.75,26.3,0.030,3.50,0.02,17.21,1537
Kepler-040,14.59,38.3,0.030,6.87,2.16,25.82,2076
Kepler-433,14.62,36.4,0.028,5.33,2.82,33.25,2097
Kepler-034,15.04,43.1,0.028,288.82,0.22,9.34,350
KELT-01,10.70,5.5,0.026,1.22,27.38,544.90,2882
HATS-41,12.68,13.6,0.026,4.19,9.70,135.92,1995
K2-066,11.71,8.6,0.025,5.07,0.07,33.70,1784
K2-038b,11.39,7.2,0.025,4.02,0.04,49.46,1539
Kepler-693,16.71,81.9,0.024,15.38,0.90,26.94,764
Kepler-080e,15.18,38.8,0.023,4.64,0.01,15.76,967
CoRoT-10,15.22,34.3,0.020,13.24,2.78,77.82,770
Kepler-434,14.65,25.8,0.020,12.88,2.86,55.52,1190
CoRoT-21,16.00,47.5,0.020,2.73,2.26,34.73,2431
Kepler-087b,14.78,26.4,0.019,114.74,1.02,17.47,625
Kepler-046b,15.49,36.1,0.019,33.60,0.89,33.43,645
Kepler-289b,14.11,18.9,0.019,34.55,0.02,15.46,750
Kepler-030c,15.62,36.9,0.018,60.33,1.69,36.57,561
Kepler-089b,12.33,7.4,0.017,3.74,0.03,34.94,1932
Kepler-068c,10.11,2.7,0.017,9.61,0.01,51.46,1231
Kepler-419,13.08,10.3,0.016,69.80,2.77,54.73,811
Kepler-117c,14.48,19.5,0.016,50.79,1.84,37.62,844
Kepler-036b,12.22,6.8,0.016,13.84,0.01,19.09,1273
Kepler-014,12.18,6.7,0.016,6.79,7.68,150.14,1909
KOI-3680,14.67,20.0,0.015,141.24,1.93,48.81,448
CoRoT-23,15.63,29.6,0.014,3.63,3.06,54.47,2035
POTS-1,17.94,85.6,0.014,3.16,2.31,64.66,1001
Kepler-080d,15.18,23.5,0.014,3.07,0.02,28.41,1111
Kepler-056c,12.72,7.6,0.014,21.40,0.57,18.46,1404
Kepler-420,14.88,20.0,0.014,86.65,1.45,40.68,544
CoRoT-20,14.66,17.9,0.014,9.24,4.14,102.62,1217
CoRoT-17,15.46,24.8,0.013,3.77,2.46,60.13,1910
KOI-1599.01,15.39,22.0,0.012,20.41,0.01,12.44,905
CoRoT-14,16.03,18.3,0.007,1.51,7.67,183.45,2303
KOI-1599.02,15.39,12.9,0.007,13.62,0.03,24.27,1037
Kepler-1647,13.70,5.8,0.007,1107.59,1.52,33.59,289
Kepler-413,15.83,14.1,0.006,66.25,0.21,36.24,398
Kepler-075,15.52,11.7,0.006,8.88,10.10,227.07,984
WASP-128,12.37,2.6,0.006,2.21,37.19,1049.94,1933
CoRoT-27,15.54,11.1,0.006,3.58,10.39,253.96,1612
EPIC_219388192,12.54,2.5,0.005,5.29,36.84,1040.05,1384
CoRoT-03,13.29,3.3,0.005,4.26,21.96,506.16,1963
WASP-030,11.46,1.0,0.003,4.16,62.50,1712.91,1778
Kepler-039,14.33,3.8,0.003,21.09,19.10,384.24,1011
Kepler-432,12.44,1.5,0.003,50.50,5.41,102.28,1057
LHS_6343,13.44,1.9,0.003,12.71,62.10,2510.64,426
CoRoT-33,14.89,2.5,0.002,5.82,59.00,1208.60,1207
KOI-205,14.76,1.3,0.001,11.72,40.80,1504.00,909
CoRoT-15,15.50,1.5,0.001,3.06,64.90,1473.08,1984
Kepler-503,14.94,0.5,0.000,7.26,78.60,2113.95,1540
KOI-415,14.27,0.2,0.000,166.79,62.14,2467.93,484
EPIC_201702477,14.57,0.2,0.000,40.74,66.90,2893.68,344
Kepler-431c,12.08,-0.0,-0.000,8.70,-1.00,-6885.14,1217
Kepler-032f,16.45,-0.2,-0.000,0.74,-1.00,-4916.98,1575
Kepler-186f,15.23,-0.1,-0.000,129.95,-1.00,-2291.65,254
Kepler-442b,15.33,-0.1,-0.000,112.31,-1.00,-1721.29,305
Kepler-438b,15.16,-0.1,-0.000,35.23,-1.00,-2478.65,380
Kepler-431b,12.08,-0.0,-0.000,6.80,-1.00,-5360.41,1329
EPIC_248435473c,11.81,-0.0,-0.000,7.81,-1.00,-7628.97,760
Kepler-444b,9.17,-0.0,-0.000,3.60,-1.00,-19125.40,1258
Kepler-032e,16.45,-0.3,-0.000,2.90,-1.00,-2580.85,999
Kepler-430c,13.97,-0.1,-0.000,110.98,-1.00,-1018.51,596
Kepler-441b,15.62,-0.2,-0.000,207.25,-1.00,-1162.81,231
Kepler-1649,17.53,-0.5,-0.000,8.69,-1.00,-2689.51,411
Kepler-296e,16.71,-0.3,-0.000,34.14,-1.00,-1340.10,361
Kepler-730c,15.80,-0.2,-0.000,2.85,-1.00,-1264.62,1906
Kepler-296f,16.71,-0.4,-0.000,63.34,-1.00,-956.23,294
Kepler-444c,9.17,-0.0,-0.000,4.55,-1.00,-12630.14,1164
Kepler-186e,15.23,-0.2,-0.000,22.41,-1.00,-1941.15,458
Kepler-069c,13.89,-0.1,-0.000,242.46,-1.00,-1058.85,390
Kepler-186b,15.23,-0.3,-0.000,3.89,-1.00,-2746.43,819
Kepler-444d,9.17,-0.0,-0.000,6.19,-1.00,-11078.81,1050
Kepler-444e,9.17,-0.0,-0.000,7.74,-1.00,-10450.99,975
Kepler-296b,16.71,-0.6,-0.000,10.86,-1.00,-1195.34,529
Kepler-443b,16.18,-0.5,-0.000,177.67,-1.00,-572.91,323
Kepler-431d,12.08,-0.1,-0.000,11.92,-1.00,-2528.98,1102
Kepler-186c,15.23,-0.3,-0.000,7.27,-1.00,-1975.97,665
Kepler-440b,15.71,-0.4,-0.000,101.11,-1.00,-899.50,360
Kepler-080f,15.18,-0.4,-0.000,0.99,-1.00,-2125.04,1620
Kepler-186d,15.23,-0.4,-0.000,13.34,-1.00,-1586.34,543
Kepler-439b,14.73,-0.3,-0.000,178.14,-1.00,-619.66,386
Kepler-296d,16.71,-1.0,-0.000,19.85,-1.00,-716.46,433
Kepler-436b,16.24,-0.9,-0.000,64.00,-1.00,-416.33,382
Kepler-444f,9.17,-0.0,-0.000,9.74,-1.00,-5673.00,881
Kepler-437b,14.73,-0.5,-0.000,66.65,-1.00,-679.44,401
Kepler-296c,16.71,-1.3,-0.000,5.84,-1.00,-782.30,651
Kepler-032d,16.45,-1.3,-0.000,22.78,-1.00,-546.33,502
K2-133b,14.00,-0.5,-0.000,3.07,-1.00,-1810.69,791
Kepler-150f,15.15,-0.9,-0.001,637.21,-1.00,-234.67,277
Kepler-009d,13.93,-0.5,-0.001,1.59,-1.00,-1162.81,1969
K2-133c,14.00,-0.6,-0.001,4.87,-1.00,-1422.55,677
Kepler-066,15.66,-1.3,-0.001,17.82,-1.00,-396.58,914
K2-155d,12.81,-0.3,-0.001,40.63,-1.00,-1162.81,375
Kepler-067,16.41,-1.9,-0.001,15.73,-1.00,-361.09,788
Kepler-065b,11.10,-0.2,-0.001,2.15,-1.00,-1536.77,2261
K2-021b,12.85,-0.4,-0.001,9.32,-1.00,-1229.25,664
Kepler-430b,13.97,-0.8,-0.001,35.97,-1.00,-294.73,868
Kepler-069b,13.89,-0.8,-0.001,13.72,-1.00,-619.66,1017
K2-155b,12.81,-0.5,-0.001,6.34,-1.00,-1301.54,698
K2-288,12.76,-0.6,-0.001,27.36,-1.00,-701.29,421
K2-233c,10.73,-0.2,-0.001,7.06,-1.00,-1747.40,947
K2-138b,12.21,-0.5,-0.001,2.35,-1.00,-1264.62,1556
K2-021c,12.85,-0.6,-0.001,15.50,-1.00,-847.66,561
K2-133d,14.00,-1.1,-0.001,11.02,-1.00,-765.02,518
K2-026b,14.53,-1.6,-0.001,14.57,-1.00,-512.12,505
K2-155c,12.81,-0.8,-0.001,13.85,-1.00,-818.69,537
K2-233b,10.73,-0.4,-0.002,2.47,-1.00,-1593.98,1345
K2-095,17.07,-7.5,-0.002,10.13,-1.00,-257.92,494
LHS_3844,15.26,-3.6,-0.002,0.46,-1.00,-1780.13,959
Kepler-421,13.56,-1.8,-0.002,704.20,-1.00,-180.08,240
Kepler-065c,11.10,-0.8,-0.003,5.86,-1.00,-468.55,1622
EPIC_248435473e,11.81,-1.2,-0.003,19.48,-1.00,-521.56,560
K2-028,16.06,-8.5,-0.003,2.26,-1.00,-472.66,716
K2-138f,12.21,-1.6,-0.004,12.76,-1.00,-393.43,886
K2-138c,12.21,-1.7,-0.004,3.56,-1.00,-489.61,1355
K2-138d,12.21,-1.7,-0.004,5.41,-1.00,-441.28,1179
EPIC_248435473d,11.81,-1.6,-0.005,14.70,-1.00,-445.03,615
Wolf_503,10.28,-1.0,-0.006,6.00,-1.00,-755.75,940
K2-233d,10.73,-1.2,-0.006,24.37,-1.00,-446.92,627
K2-138e,12.21,-2.9,-0.007,8.26,-1.00,-286.76,1024
NLTT_41135,16.50,-30.2,-0.010,2.89,33.70,835.31,548
K2-100,10.52,-3.1,-0.016,1.67,-1.00,-261.28,1855
EPIC_248435473b,11.81,-6.1,-0.017,0.66,-1.00,-366.66,1732
Kepler-167e,14.29,-20.1,-0.018,1071.23,-1.00,-30.20,174
Kepler-730b,15.80,-79.3,-0.036,6.49,-1.00,-20.48,1447
